site,gs,Type,TypicalDate,Date,DaysFromAvg,ndvi,sitenum,avg_ndvi_max,N,Change_ndvi_max
abisko,2000,green-up date,2000-06-10,2000-06-28,18,0.3367271027719548,1,0.6239775838245766,11,NA
abisko,2000,max,2000-07-31,2000-08-09,9,0.6231015316708988,1,0.6239775838245766,11,-8.760521536778088e-4
abisko,2000,senescence date,2000-09-23,2000-09-29,6,0.3207925699935411,1,0.6239775838245766,11,NA
abisko,2002,green-up date,2002-06-10,2002-05-30,-11,0.3336226967550801,1,0.6239775838245766,11,NA
abisko,2002,max,2002-07-31,2002-07-14,-17,0.6084811407224694,1,0.6239775838245766,11,-0.015496443102107182
abisko,2002,senescence date,2002-09-23,2002-09-13,-10,0.3234976218809012,1,0.6239775838245766,11,NA
abisko,2006,green-up date,2006-06-10,2006-05-17,-24,0.3361052903741543,1,0.6239775838245766,11,NA
abisko,2006,max,2006-07-31,2006-07-16,-15,0.6768099807413186,1,0.6239775838245766,11,0.05283239691674202
abisko,2006,senescence date,2006-09-23,2006-09-25,2,0.32286062893924905,1,0.6239775838245766,11,NA
abisko,2013,green-up date,2013-06-10,2013-05-23,-18,0.33224446096141785,1,0.6239775838245766,11,NA
abisko,2013,max,2013-07-31,2013-07-12,-19,0.6999203639061751,1,0.6239775838245766,11,0.0759427800815985
abisko,2013,senescence date,2013-09-23,2013-09-22,-1,0.3218089526267343,1,0.6239775838245766,11,NA
abisko,2014,green-up date,2014-06-10,2014-06-30,20,0.3305571833770048,1,0.6239775838245766,11,NA
abisko,2014,max,2014-07-31,2014-08-03,3,0.6453551813097834,1,0.6239775838245766,11,0.021377597485206845
abisko,2014,senescence date,2014-09-23,2014-09-27,4,0.31910812145517936,1,0.6239775838245766,11,NA
abisko,2015,green-up date,2015-06-10,2015-07-07,27,0.335630524285419,1,0.6239775838245766,11,NA
abisko,2015,max,2015-07-31,2015-08-14,14,0.6433576783902347,1,0.6239775838245766,11,0.019380094565658146
abisko,2015,senescence date,2015-09-23,2015-09-19,-4,0.3242016598833039,1,0.6239775838245766,11,NA
abisko,2016,green-up date,2016-06-10,2016-06-04,-6,0.3350284959007055,1,0.6239775838245766,11,NA
abisko,2016,max,2016-07-31,2016-08-02,2,0.7170259854774721,1,0.6239775838245766,11,0.09304840165289552
abisko,2016,senescence date,2016-09-23,2016-09-28,5,0.3192921647820308,1,0.6239775838245766,11,NA
abisko,2017,green-up date,2017-06-10,2017-06-16,6,0.3288431536737263,1,0.6239775838245766,11,NA
abisko,2017,max,2017-07-31,2017-08-09,9,0.7180342403443913,1,0.6239775838245766,11,0.09405665651981476
abisko,2017,senescence date,2017-09-23,2017-09-24,1,0.3272363362943053,1,0.6239775838245766,11,NA
abisko,2018,green-up date,2018-06-10,2018-05-23,-18,0.33335307665729663,1,0.6239775838245766,11,NA
abisko,2018,max,2018-07-31,2018-07-30,-1,0.685990705364412,1,0.6239775838245766,11,0.0620131215398354
abisko,2018,senescence date,2018-09-23,2018-09-21,-2,0.3221328581001855,1,0.6239775838245766,11,NA
abisko,2019,green-up date,2019-06-10,2019-06-09,-1,0.33577940525486355,1,0.6239775838245766,11,NA
abisko,2019,max,2019-07-31,2019-08-01,1,0.6007384041794046,1,0.6239775838245766,11,-0.02323917964517197
abisko,2019,senescence date,2019-09-23,2019-09-13,-10,0.3159456113857573,1,0.6239775838245766,11,NA
abisko,2020,green-up date,2020-06-10,2020-06-04,-6,0.32888490609806764,1,0.6239775838245766,11,NA
abisko,2020,max,2020-07-31,2020-07-28,-3,0.6560436887676561,1,0.6239775838245766,11,0.03206610494307949
abisko,2020,senescence date,2020-09-23,2020-09-19,-4,0.32708613250459917,1,0.6239775838245766,11,NA
amcamp,1987,green-up date,1987-03-23,1987-03-24,1,0.37882836009645865,2,0.561214783449455,23,NA
amcamp,1987,max,1987-05-24,1987-05-16,-8,0.460875554824944,2,0.561214783449455,23,-0.10033922862451095
amcamp,1987,senescence date,1987-07-27,1987-07-08,-19,0.37590502639259166,2,0.561214783449455,23,NA
amcamp,1998,green-up date,1998-03-23,1998-04-04,12,0.3789802361309257,2,0.561214783449455,23,NA
amcamp,1998,max,1998-05-24,1998-05-22,-2,0.41025667126192583,2,0.561214783449455,23,-0.15095811218752914
amcamp,1998,senescence date,1998-07-27,1998-07-03,-24,0.37718526712719735,2,0.561214783449455,23,NA
amcamp,1999,green-up date,1999-03-23,1999-04-25,33,0.3782888001313795,2,0.561214783449455,23,NA
amcamp,1999,max,1999-05-24,1999-06-21,28,0.468108160567805,2,0.561214783449455,23,-0.09310662288164995
amcamp,1999,senescence date,1999-07-27,1999-08-17,21,0.37709526801731785,2,0.561214783449455,23,NA
amcamp,2000,green-up date,2000-03-23,2000-03-23,0,0.3789337129234871,2,0.561214783449455,23,NA
amcamp,2000,max,2000-05-24,2000-05-24,0,0.5749628329625284,2,0.561214783449455,23,0.013748049513073402
amcamp,2000,senescence date,2000-07-27,2000-07-26,-1,0.37739832367024156,2,0.561214783449455,23,NA
amcamp,2001,green-up date,2001-03-23,2001-04-10,18,0.3801824355344013,2,0.561214783449455,23,NA
amcamp,2001,max,2001-05-24,2001-06-01,8,0.5397527421977644,2,0.561214783449455,23,-0.0214620412516906
amcamp,2001,senescence date,2001-07-27,2001-07-28,1,0.37621596489110204,2,0.561214783449455,23,NA
amcamp,2002,green-up date,2002-03-23,2002-04-26,34,0.38008821981193774,2,0.561214783449455,23,NA
amcamp,2002,max,2002-05-24,2002-06-11,18,0.48821407723467153,2,0.561214783449455,23,-0.07300070621478344
amcamp,2002,senescence date,2002-07-27,2002-08-02,6,0.377537698192224,2,0.561214783449455,23,NA
amcamp,2003,green-up date,2003-03-23,2003-03-11,-12,0.38086144249566767,2,0.561214783449455,23,NA
amcamp,2003,max,2003-05-24,2003-05-11,-13,0.5859907617114212,2,0.561214783449455,23,0.024775978261966203
amcamp,2003,senescence date,2003-07-27,2003-07-12,-15,0.37757906703286714,2,0.561214783449455,23,NA
amcamp,2004,green-up date,2004-03-23,2004-02-23,-29,0.38020069499726966,2,0.561214783449455,23,NA
amcamp,2004,max,2004-05-24,2004-04-22,-32,0.5427697068053448,2,0.561214783449455,23,-0.018445076644110214
amcamp,2004,senescence date,2004-07-27,2004-07-08,-19,0.3769009817429077,2,0.561214783449455,23,NA
amcamp,2005,green-up date,2005-03-23,2005-03-11,-12,0.38194396888053256,2,0.561214783449455,23,NA
amcamp,2005,max,2005-05-24,2005-05-09,-15,0.6130807529019748,2,0.561214783449455,23,0.05186596945251987
amcamp,2005,senescence date,2005-07-27,2005-07-11,-16,0.3744384306462825,2,0.561214783449455,23,NA
amcamp,2006,green-up date,2006-03-23,2006-03-16,-7,0.3785269292299423,2,0.561214783449455,23,NA
amcamp,2006,max,2006-05-24,2006-05-15,-9,0.5932804468951519,2,0.561214783449455,23,0.032065663445696946
amcamp,2006,senescence date,2006-07-27,2006-07-15,-12,0.377488804283175,2,0.561214783449455,23,NA
amcamp,2007,green-up date,2007-03-23,2007-03-25,2,0.37885856649734606,2,0.561214783449455,23,NA
amcamp,2007,max,2007-05-24,2007-05-19,-5,0.5489767487966961,2,0.561214783449455,23,-0.012238034652758856
amcamp,2007,senescence date,2007-07-27,2007-07-27,0,0.37724202713127586,2,0.561214783449455,23,NA
amcamp,2008,green-up date,2008-03-23,2008-05-01,39,0.38963535491233864,2,0.561214783449455,23,NA
amcamp,2008,max,2008-05-24,2008-06-08,15,0.5334391061767274,2,0.561214783449455,23,-0.02777567727272756
amcamp,2008,senescence date,2008-07-27,2008-08-06,10,0.3756186133817816,2,0.561214783449455,23,NA
amcamp,2009,green-up date,2009-03-23,2009-03-31,8,0.3813509065385359,2,0.561214783449455,23,NA
amcamp,2009,max,2009-05-24,2009-05-20,-4,0.5380613336500222,2,0.561214783449455,23,-0.02315344979943279
amcamp,2009,senescence date,2009-07-27,2009-07-20,-7,0.37654795965614346,2,0.561214783449455,23,NA
amcamp,2010,green-up date,2010-03-23,2010-03-19,-4,0.38161974742561017,2,0.561214783449455,23,NA
amcamp,2010,max,2010-05-24,2010-05-20,-4,0.565429892527466,2,0.561214783449455,23,0.004215109078011037
amcamp,2010,senescence date,2010-07-27,2010-08-01,5,0.3768591797981832,2,0.561214783449455,23,NA
amcamp,2011,green-up date,2011-03-23,2011-03-20,-3,0.3791714103657199,2,0.561214783449455,23,NA
amcamp,2011,max,2011-05-24,2011-06-09,16,0.5532580225440726,2,0.561214783449455,23,-0.007956760905382332
amcamp,2011,senescence date,2011-07-27,2011-08-27,31,0.37776747295512186,2,0.561214783449455,23,NA
amcamp,2013,green-up date,2013-03-23,2013-01-29,-53,0.3780263905330516,2,0.561214783449455,23,NA
amcamp,2013,max,2013-05-24,2013-05-26,2,0.556681253844641,2,0.561214783449455,23,-0.004533529604814013
