"site_code","date","pre_mm/month","plotdate","month","year"
"abisko.se","Jan/16/1981",144.5,1981-01-16,"Jan",1981
"ahth.is","Jan/16/1981",81.3000030517578,1981-01-16,"Jan",1981
"amcamp.us","Jan/16/1981",90.7000045776367,1981-01-16,"Jan",1981
"amlr.is","Jan/16/1981",81.3000030517578,1981-01-16,"Jan",1981
"anti.ec","Jan/16/1981",57.4000015258789,1981-01-16,"Jan",1981
"arch.us","Jan/16/1981",14.1000003814697,1981-01-16,"Jan",1981
"azi.cn","Jan/16/1981",3.5,1981-01-16,"Jan",1981
"azitwo.cn","Jan/16/1981",3.5,1981-01-16,"Jan",1981
"badlau.de","Jan/16/1981",34.7999992370605,1981-01-16,"Jan",1981
"bari.ar","Jan/16/1981",52.2999992370605,1981-01-16,"Jan",1981
"barta.us","Jan/16/1981",2.20000004768372,1981-01-16,"Jan",1981
"bayr.de","Jan/16/1981",60.4000015258789,1981-01-16,"Jan",1981
"bldr.us","Jan/16/1981",5.09999990463257,1981-01-16,"Jan",1981
"bnbt.us","Jan/16/1981",6.70000028610229,1981-01-16,"Jan",1981
"bnch.us","Jan/16/1981",63.2000007629395,1981-01-16,"Jan",1981
"bogong.au","Jan/16/1981",70.9000015258789,1981-01-16,"Jan",1981
"bttr.us","Jan/16/1981",63.2000007629395,1981-01-16,"Jan",1981
"bunya.au","Jan/16/1981",44.4000015258789,1981-01-16,"Jan",1981
"burrawan.au","Jan/16/1981",31.7000007629395,1981-01-16,"Jan",1981
"burren.ie","Jan/16/1981",65.0999984741211,1981-01-16,"Jan",1981
"bynb.cn","Jan/16/1981",10.3000001907349,1981-01-16,"Jan",1981
"cbgb.us","Jan/16/1981",1.70000004768372,1981-01-16,"Jan",1981
"cdcr.us","Jan/16/1981",5.09999990463257,1981-01-16,"Jan",1981
"cdpt.us","Jan/16/1981",5.40000009536743,1981-01-16,"Jan",1981
"cereep.fr","Jan/16/1981",69.4000015258789,1981-01-16,"Jan",1981
"chilcas.ar","Jan/16/1981",143.5,1981-01-16,"Jan",1981
"comp.pt","Jan/16/1981",5.40000009536743,1981-01-16,"Jan",1981
"cowi.ca","Jan/16/1981",82.3000030517578,1981-01-16,"Jan",1981
"derr.au","Jan/16/1981",55.7000007629395,1981-01-16,"Jan",1981
"doane.us","Jan/16/1981",2.40000009536743,1981-01-16,"Jan",1981
"drake.za","Jan/16/1981",186.699996948242,1981-01-16,"Jan",1981
"elkh.us","Jan/16/1981",233.800003051758,1981-01-16,"Jan",1981
"elliot.us","Jan/16/1981",30.7000007629395,1981-01-16,"Jan",1981
"elva.ee","Jan/16/1981",35.7999992370605,1981-01-16,"Jan",1981
"ethamc.au","Jan/16/1981",97.4000015258789,1981-01-16,"Jan",1981
"ethass.au","Jan/16/1981",97.4000015258789,1981-01-16,"Jan",1981
"fnly.us","Jan/16/1981",61.1000022888184,1981-01-16,"Jan",1981
"free.de","Jan/16/1981",64.3000030517578,1981-01-16,"Jan",1981
"frue.ch","Jan/16/1981",118.200004577637,1981-01-16,"Jan",1981
"gall.it","Jan/16/1981",36.2000007629395,1981-01-16,"Jan",1981
"gcnban.cn","Jan/16/1981",3.5,1981-01-16,"Jan",1981
"gcndan.cn","Jan/16/1981",0,1981-01-16,"Jan",1981
"gcnhai.cn","Jan/16/1981",2,1981-01-16,"Jan",1981
"gcnhon.cn","Jan/16/1981",2.29999995231628,1981-01-16,"Jan",1981
"gcnhul.cn","Jan/16/1981",0.800000011920929,1981-01-16,"Jan",1981
"gcnnaq.cn","Jan/16/1981",8,1981-01-16,"Jan",1981
"gcnsui.cn","Jan/16/1981",0.200000002980232,1981-01-16,"Jan",1981
"gcnura.cn","Jan/16/1981",0.900000035762787,1981-01-16,"Jan",1981
"gcnxil.cn","Jan/16/1981",1,1981-01-16,"Jan",1981
"gcnyan.cn","Jan/16/1981",3.70000004768372,1981-01-16,"Jan",1981
"gcnyou.cn","Jan/16/1981",2.40000009536743,1981-01-16,"Jan",1981
"gilb.za","Jan/16/1981",175.199996948242,1981-01-16,"Jan",1981
"glac.us","Jan/16/1981",72.4000015258789,1981-01-16,"Jan",1981
"glcr.us","Jan/16/1981",3,1981-01-16,"Jan",1981
"hall.us","Jan/16/1981",35.6000022888184,1981-01-16,"Jan",1981
"hart.us","Jan/16/1981",24.5,1981-01-16,"Jan",1981
"hast.us","Jan/16/1981",268.600006103516,1981-01-16,"Jan",1981
"hero.uk","Jan/16/1981",45.7999992370605,1981-01-16,"Jan",1981
"hnvr.us","Jan/16/1981",13.1000003814697,1981-01-16,"Jan",1981
"hogone.us","Jan/16/1981",21,1981-01-16,"Jan",1981
"hogtwo.us","Jan/16/1981",21,1981-01-16,"Jan",1981
"hopl.us","Jan/16/1981",302.899993896484,1981-01-16,"Jan",1981
"hustai.mn","Jan/16/1981",1.10000002384186,1981-01-16,"Jan",1981
"jasp.us","Jan/16/1981",177.699996948242,1981-01-16,"Jan",1981
"jena.de","Jan/16/1981",44.1000022888184,1981-01-16,"Jan",1981
"jorn.us","Jan/16/1981",21.6000003814697,1981-01-16,"Jan",1981
"kark.se","Jan/16/1981",180.100006103516,1981-01-16,"Jan",1981
