"site_code","date","tmp_degrees_Celsius","plotdate","month","year"
"abisko.se","Jan/16/2001",-10.3000001907349,2001-01-16,"Jan",2001
"ahth.is","Jan/16/2001",-0.800000011920929,2001-01-16,"Jan",2001
"amcamp.us","Jan/16/2001",4.30000019073486,2001-01-16,"Jan",2001
"amlr.is","Jan/16/2001",-0.800000011920929,2001-01-16,"Jan",2001
"anti.ec","Jan/16/2001",11.4000005722046,2001-01-16,"Jan",2001
"arch.us","Jan/16/2001",14.8000001907349,2001-01-16,"Jan",2001
"azi.cn","Jan/16/2001",-9.5,2001-01-16,"Jan",2001
"azitwo.cn","Jan/16/2001",-9.5,2001-01-16,"Jan",2001
"badlau.de","Jan/16/2001",0.800000011920929,2001-01-16,"Jan",2001
"bari.ar","Jan/16/2001",12,2001-01-16,"Jan",2001
"barta.us","Jan/16/2001",-4.59999990463257,2001-01-16,"Jan",2001
"bayr.de","Jan/16/2001",-1,2001-01-16,"Jan",2001
"bldr.us","Jan/16/2001",-3.5,2001-01-16,"Jan",2001
"bnbt.us","Jan/16/2001",-1.70000004768372,2001-01-16,"Jan",2001
"bnch.us","Jan/16/2001",-2.20000004768372,2001-01-16,"Jan",2001
"bogong.au","Jan/16/2001",20.2000007629395,2001-01-16,"Jan",2001
"bttr.us","Jan/16/2001",-2.20000004768372,2001-01-16,"Jan",2001
"bunya.au","Jan/16/2001",24,2001-01-16,"Jan",2001
"burrawan.au","Jan/16/2001",25.6000003814697,2001-01-16,"Jan",2001
"burren.ie","Jan/16/2001",3.90000009536743,2001-01-16,"Jan",2001
"bynb.cn","Jan/16/2001",-19.5,2001-01-16,"Jan",2001
"cbgb.us","Jan/16/2001",-4.90000009536743,2001-01-16,"Jan",2001
"cdcr.us","Jan/16/2001",-7.70000028610229,2001-01-16,"Jan",2001
"cdpt.us","Jan/16/2001",-2.10000014305115,2001-01-16,"Jan",2001
"cereep.fr","Jan/16/2001",5.70000028610229,2001-01-16,"Jan",2001
"chilcas.ar","Jan/16/2001",23,2001-01-16,"Jan",2001
"comp.pt","Jan/16/2001",12.4000005722046,2001-01-16,"Jan",2001
"cowi.ca","Jan/16/2001",3.90000009536743,2001-01-16,"Jan",2001
"derr.au","Jan/16/2001",22.7000007629395,2001-01-16,"Jan",2001
"doane.us","Jan/16/2001",-3.29999995231628,2001-01-16,"Jan",2001
"drake.za","Jan/16/2001",21,2001-01-16,"Jan",2001
"elkh.us","Jan/16/2001",9.60000038146973,2001-01-16,"Jan",2001
"elliot.us","Jan/16/2001",13.4000005722046,2001-01-16,"Jan",2001
"elva.ee","Jan/16/2001",-2.10000014305115,2001-01-16,"Jan",2001
"ethamc.au","Jan/16/2001",31.2000007629395,2001-01-16,"Jan",2001
"ethass.au","Jan/16/2001",31.2000007629395,2001-01-16,"Jan",2001
"fnly.us","Jan/16/2001",4.80000019073486,2001-01-16,"Jan",2001
"free.de","Jan/16/2001",2.60000014305115,2001-01-16,"Jan",2001
"frue.ch","Jan/16/2001",0.800000011920929,2001-01-16,"Jan",2001
"gall.it","Jan/16/2001",6.40000009536743,2001-01-16,"Jan",2001
"gcnban.cn","Jan/16/2001",-9.80000019073486,2001-01-16,"Jan",2001
"gcndan.cn","Jan/16/2001",-7.80000019073486,2001-01-16,"Jan",2001
"gcnhai.cn","Jan/16/2001",-13.6999998092651,2001-01-16,"Jan",2001
"gcnhon.cn","Jan/16/2001",-7.70000028610229,2001-01-16,"Jan",2001
"gcnhul.cn","Jan/16/2001",-28.7000007629395,2001-01-16,"Jan",2001
"gcnnaq.cn","Jan/16/2001",-12.4000005722046,2001-01-16,"Jan",2001
"gcnsui.cn","Jan/16/2001",-23.1000003814697,2001-01-16,"Jan",2001
"gcnura.cn","Jan/16/2001",-10.4000005722046,2001-01-16,"Jan",2001
"gcnxil.cn","Jan/16/2001",-19.8999996185303,2001-01-16,"Jan",2001
"gcnyan.cn","Jan/16/2001",-6.30000019073486,2001-01-16,"Jan",2001
"gcnyou.cn","Jan/16/2001",-11.3000001907349,2001-01-16,"Jan",2001
"gilb.za","Jan/16/2001",20.1000003814697,2001-01-16,"Jan",2001
"glac.us","Jan/16/2001",4.40000009536743,2001-01-16,"Jan",2001
"glcr.us","Jan/16/2001",-4.09999990463257,2001-01-16,"Jan",2001
"hall.us","Jan/16/2001",0.699999988079071,2001-01-16,"Jan",2001
"hart.us","Jan/16/2001",-3,2001-01-16,"Jan",2001
"hast.us","Jan/16/2001",8.60000038146973,2001-01-16,"Jan",2001
"hero.uk","Jan/16/2001",3.79999995231628,2001-01-16,"Jan",2001
"hnvr.us","Jan/16/2001",-7.40000009536743,2001-01-16,"Jan",2001
"hogone.us","Jan/16/2001",3.60000014305115,2001-01-16,"Jan",2001
"hogtwo.us","Jan/16/2001",3.60000014305115,2001-01-16,"Jan",2001
"hopl.us","Jan/16/2001",6.59999990463257,2001-01-16,"Jan",2001
"hustai.mn","Jan/16/2001",-23.7000007629395,2001-01-16,"Jan",2001
"jasp.us","Jan/16/2001",8.90000057220459,2001-01-16,"Jan",2001
"jena.de","Jan/16/2001",-0.400000005960464,2001-01-16,"Jan",2001
"jorn.us","Jan/16/2001",3.20000004768372,2001-01-16,"Jan",2001
"kark.se","Jan/16/2001",-10.1000003814697,2001-01-16,"Jan",2001
"kbs.us","Jan/16/2001",-3.60000014305115,2001-01-16,"Jan",2001
"kibber.in","Jan/16/2001",-11.5,2001-01-16,"Jan",2001
"kidman.au","Jan/16/2001",30.5,2001-01-16,"Jan",2001
"kilp.fi","Jan/16/2001",-11.1999998092651,2001-01-16,"Jan",2001
"kiny.au","Jan/16/2001",25.8000011444092,2001-01-16,"Jan",2001
"kirik.ee","Jan/16/2001",-0.300000011920929,2001-01-16,"Jan",2001
