site_name,site_code,continent,country,habitat,first_year,final_year,active,number_years_active,GEE coordinates,Buffer area,GoogleMap Visible?,PI checked,latitude,longitude,experiment_type,Other notes
Abiskojaure,abisko.se,Europe,SE,tundra grassland,2016,2016,0,1,"18.724477, 68.366069",30,no,yes,68.319867,18.740062,Observational,
Audkuluheidi Heath,ahth.is,Europe,IS,heathland,2016,NULL,1,4,,"erg, this is exactly the same lat/long as another iceland site - I don't know which is right!",,,65.13335,-19.67206,Experimental (Full Factorial),
American Camp,amcamp.us,North America,US,mesic grassland,2007,2007,0,1,"-123.014311, 48.465041",30,na,no,48.46504064,-123.0143109,Observational,
Audkuluheidi Melur,amlr.is,Europe,IS,desert grassland,2016,NULL,1,4,"-19.672060, 65.133350","30, cant see plots tho",no,,65.13335,-19.67206,Experimental (Full Factorial),high confidence clouds lots of the year; no pitch darkness
Antisana,anti.ec,South America,EC,alpine grassland,2013,2013,0,1,"-78.162, -0.467083333","30, cant see plots tho",no,,-0.467083333,-78.162,Observational,"barely any data, always cloud/shaddow covered (if this site is acutally LOWER elevation, that would be very helpful for the data!)"
Archbold Biological Station,arch.us,North America,US,mixedgrass prairie,2015,NULL,1,5,"-81.218472, 27.170194",30,"yes, cant see plots tho",yes,27.15,-81.18333333,Experimental (Full Factorial),
Azi,azi.cn,Asia,CN,alpine grassland,2007,2012,0,6,,30,ish,yes,33.67,101.87,Experimental (Full Factorial),
Azi Two,azitwo.cn,Asia,CN,alpine grassland,2018,NULL,1,2,"101.865677, 33.670918",is this the same as azi?,?,?,33.58,101.53,Experimental (Other modification),
Bad Lauchstaedt,badlau.de,Europe,DE,old field,2015,NULL,1,5,"11.880336, 51.391717","30, site is SUPER manipulated…hopefully this is an okay location",yes,no,51.392138,11.877969,Experimental (Nutrients Only),
Fort√≠n Chacabuco,bari.ar,South America,AR,grassland steppe,2015,NULL,1,5,"-71.152318, -41.006807",30,yes,yes,-41.00644,-71.15323,Experimental (Full Factorial),
Barta Brothers,barta.us,North America,US,mixedgrass prairie,2007,2011,0,5,"-99.652173, 42.245453","30, could be not right…old irrigation scars which are impt to avoid?",ish,,42.244586,-99.6518,Experimental (Full Factorial),
Bayreuth,bayr.de,Europe,DE,mesic grassland,2015,NULL,1,5,"11.584053, 49.921323","30, very manipulated site",yes,,49.91666667,11.58333333,Experimental (Full Factorial),
Boulder South Campus,bldr.us,North America,US,shortgrass prairie,2008,NULL,1,12,"-105.233063, 39.972852",30,yes,,39.972022,-105.233544,Experimental (Full Factorial),
Benedictine Bottoms,bnbt.us,North America,US,tallgrass prairie,2017,NULL,1,3,"-95.087419, 39.596985","30, hopefully avoided trees",yes,,39.597007,-95.086276,Experimental (Full Factorial),
Bunchgrass (Andrews LTER),bnch.us,North America,US,montane grassland,2007,NULL,1,13,"-121.966830, 44.278458","30, moved to avoid forests, down trees…hopefully still accurate",yes,,44.27668543,-121.9680169,Experimental (Full Factorial),
Bogong,bogong.au,Australia,AU,alpine grassland,2009,NULL,1,11,"147.253979, -36.873971","30, cant see plots so might be right in there, hard to avoid shrubs too",no,,-36.874,147.254,Experimental (Full Factorial),
Buttercup (Andrews LTER),bttr.us,North America,US,montane grassland,2007,2007,0,1,"-121.958134, 44.277013",30,no,no,44.27951804,-121.9566829,Observational,
Bunya Mountains,bunya.au,Australia,AU,grassland,2013,2013,0,1,"151.606325, -26.892224",30,no,no,-26.892138,151.606667,Observational,
Burrawan,burrawan.au,Australia,AU,semiarid grassland,2008,NULL,1,12,"151.139265, -27.735334","30, cant see plots tho",no,,-27.734896,151.139517,Experimental (Full Factorial),
Slieve Carran,burren.ie,Europe,IE,calcareous grassland,2015,NULL,1,5,"-8.992624, 53.072023","30, cant see plots tho",no,,53.072023,-8.992624,Experimental (Full Factorial),
Bayanbulak,bynb.cn,Asia,CN,alpine grassland,2018,NULL,1,2,"82.708800, 42.884700","30, cant see plots tho",no,,42.8847,82.7088,Experimental (Full Factorial),
Chichaqua Bottoms,cbgb.us,North America,US,tallgrass prairie,2009,NULL,1,11,"-93.384990, 41.784526",30,yes,,41.78506667,-93.38538333,Experimental (Full Factorial),
Cedar Creek LTER,cdcr.us,North America,US,tallgrass prairie,2007,NULL,1,13,"-93.211968, 45.427225","30, field is super manipulated tho, hopefully ok",yes,,45.425,-93.2115,Experimental (Full Factorial),
Cedar Point Biological Station,cdpt.us,North America,US,shortgrass prairie,2007,NULL,1,13,"-101.643424, 41.206284","30, but it's right over nutnet plots…since it looks like the whole area is fenced",yes,,41.2,-101.63,Experimental (Full Factorial),
CEREEP - Ecotron IDF,cereep.fr,Europe,FR,old field,2012,NULL,1,8,,forest or vinyard??,no,,48.28,2.66,Experimental (Full Factorial),
Las Chilcas,chilcas.ar,South America,AR,mesic grassland,2013,NULL,1,7,"-58.264246, -36.275950","30, but the plots might be individually fenced, so this could be totally different?",yes,,-36.275556,-58.265556,Experimental (Full Factorial),
Companhia das Lezirias,comp.pt,Europe,PT,annual grassland,2012,NULL,1,8,"-8.791102, 38.829049","30, but all plots might be fenced so very different? Also strange site",yes,,38.82928,-8.791406,Experimental (Full Factorial),
Cowichan,cowi.ca,North America,CA,old field,2007,NULL,1,13,"-123.635063, 48.808390","30, but mowing/grazing/etc might be totally different here",yes,yes,48.8088,-123.6301,Experimental (Full Factorial),
Derrimut,derr.au,Australia,AU,semiarid grassland,2007,2007,0,1,"144.791878, -37.806923",30,no,,-37.80694444,144.7913889,Observational,
Doane College Spring Creek Prairie ,doane.us,North America,US,tallgrass prairie,2012,NULL,1,8,"-96.855257, 40.695596",30,yes,,40.6954,-96.8541,Experimental (Nutrients Only),
Drakensberg,drake.za,Africa,ZA,montane grassland,2018,NULL,1,2,,"30, cant see plots tho",no,,-28.96104204,29.267586,Experimental (Full Factorial),
Elkhorn,elkh.us,North America,US,mesic grassland,2007,2007,0,1,"-122.05025, 36.984861",30,no,,36.984861,-122.05025,Observational,
Elliott Chaparral,elliot.us,North America,US,annual grassland,2008,NULL,1,12,"-117.090227, 32.892409","30, buffer defs encroaches on shrubs - no comprable area really",yes,,32.875,-117.052243,Experimental (Full Factorial),
