"","site_code","lat","long"
"1","'abisko_se'"," 68.366069","18.724477"
"2","'ahth_is'",NA,NA
"3","'amcamp_us'"," 48.465041","-123.014311"
"4","'amlr_is'"," 65.133350","-19.672060"
"5","'anti_ec'"," -0.467083333","-78.162"
"6","'arch_us'"," 27.170194","-81.218472"
"7","'azitwo_cn'"," 33.670918","101.865677"
"8","'badlau_de'"," 51.391717","11.880336"
"9","'bari_ar'"," -41.006807","-71.152318"
"10","'barta_us'"," 42.245453","-99.652173"
"11","'bayr_de'"," 49.921323","11.584053"
"12","'bldr_us'"," 39.972852","-105.233063"
"13","'bnbt_us'"," 39.596985","-95.087419"
"14","'bnch_us'"," 44.278458","-121.966830"
"15","'bogong_au'"," -36.873971","147.253979"
"16","'bttr_us'"," 44.277013","-121.958134"
"17","'bunya_au'"," -26.892224","151.606325"
"18","'burrawan_au'"," -27.735334","151.139265"
"19","'burren_ie'"," 53.072023","-8.992624"
"20","'bynb_cn'"," 42.884700","82.708800"
"21","'cbgb_us'"," 41.784526","-93.384990"
"22","'cdcr_us'"," 45.427225","-93.211968"
"23","'cdpt_us'"," 41.206284","-101.643424"
"24","'cereep_fr'",NA,NA
"25","'chilcas_ar'"," -36.275950","-58.264246"
"26","'comp_pt'"," 38.829049","-8.791102"
"27","'cowi_ca'"," 48.808390","-123.635063"
"28","'derr_au'"," -37.806923","144.791878"
"29","'doane_us'"," 40.695596","-96.855257"
"30","'drake_za'"," -28.961042","29.267586"
"31","'elkh_us'"," 36.984861","-122.05025"
"32","'elliot_us'"," 32.892409","-117.090227"
"33","'elva_ee'"," 58.257967","26.353695"
"34","'ethamc_au'"," -23.756611","138.474286"
"35","'ethass_au'"," -23.638610","138.398970"
"36","'fnly_us'",NA,NA
"37","'free_de'"," 48.020054","7.827216"
"38","'frue_ch'"," 47.114728","8.540363"
"39","'gall_it'"," 43.797100","10.718500"
"40","'gcnban_cn'"," 31.383330","90.233300"
"41","'gcndan_cn'"," 30.496210","91.066770"
"42","'gcnhai_cn'",NA,NA
"43","'gcnhon_cn'"," 32.828816","102.577863"
"44","'gcnhul_cn'"," 49.333000","119.951580"
"45","'gcnnaq_cn'"," 31.643700","92.009700"
"46","'gcnsui_cn'",NA,NA
"47","'gcnura_cn'"," 41.416670","106.966670"
"48","'gcnxil_cn'",NA,NA
