"site_code","date","pre_mm/month","plotdate","month","year"
"abisko.se","Jan/16/2001",58.5,2001-01-16,"Jan",2001
"ahth.is","Jan/16/2001",43.2000007629395,2001-01-16,"Jan",2001
"amcamp.us","Jan/16/2001",213.199996948242,2001-01-16,"Jan",2001
"amlr.is","Jan/16/2001",43.2000007629395,2001-01-16,"Jan",2001
"anti.ec","Jan/16/2001",127.599998474121,2001-01-16,"Jan",2001
"arch.us","Jan/16/2001",20.5,2001-01-16,"Jan",2001
"azi.cn","Jan/16/2001",3.40000009536743,2001-01-16,"Jan",2001
"azitwo.cn","Jan/16/2001",3.40000009536743,2001-01-16,"Jan",2001
"badlau.de","Jan/16/2001",21.5,2001-01-16,"Jan",2001
"bari.ar","Jan/16/2001",44.7999992370605,2001-01-16,"Jan",2001
"barta.us","Jan/16/2001",26.1000003814697,2001-01-16,"Jan",2001
"bayr.de","Jan/16/2001",47.7999992370605,2001-01-16,"Jan",2001
"bldr.us","Jan/16/2001",16.1000003814697,2001-01-16,"Jan",2001
"bnbt.us","Jan/16/2001",40.7000007629395,2001-01-16,"Jan",2001
"bnch.us","Jan/16/2001",35.7000007629395,2001-01-16,"Jan",2001
"bogong.au","Jan/16/2001",52.7000007629395,2001-01-16,"Jan",2001
"bttr.us","Jan/16/2001",35.7000007629395,2001-01-16,"Jan",2001
"bunya.au","Jan/16/2001",34.6000022888184,2001-01-16,"Jan",2001
"burrawan.au","Jan/16/2001",34,2001-01-16,"Jan",2001
"burren.ie","Jan/16/2001",59.7999992370605,2001-01-16,"Jan",2001
"bynb.cn","Jan/16/2001",6.5,2001-01-16,"Jan",2001
"cbgb.us","Jan/16/2001",36.7000007629395,2001-01-16,"Jan",2001
"cdcr.us","Jan/16/2001",32.4000015258789,2001-01-16,"Jan",2001
"cdpt.us","Jan/16/2001",11.8000001907349,2001-01-16,"Jan",2001
"cereep.fr","Jan/16/2001",61.7999992370605,2001-01-16,"Jan",2001
"chilcas.ar","Jan/16/2001",134.400009155273,2001-01-16,"Jan",2001
