"site_code","date","tmp_degrees_Celsius","plotdate","month","year"
"abisko.se","Jan/16/1981",-14.4000005722046,1981-01-16,"Jan",1981
"ahth.is","Jan/16/1981",-5.20000028610229,1981-01-16,"Jan",1981
"amcamp.us","Jan/16/1981",5.5,1981-01-16,"Jan",1981
"amlr.is","Jan/16/1981",-5.20000028610229,1981-01-16,"Jan",1981
"anti.ec","Jan/16/1981",11.6999998092651,1981-01-16,"Jan",1981
"arch.us","Jan/16/1981",12.3000001907349,1981-01-16,"Jan",1981
"azi.cn","Jan/16/1981",-9.90000057220459,1981-01-16,"Jan",1981
"azitwo.cn","Jan/16/1981",-9.90000057220459,1981-01-16,"Jan",1981
"badlau.de","Jan/16/1981",-1.5,1981-01-16,"Jan",1981
"bari.ar","Jan/16/1981",12.4000005722046,1981-01-16,"Jan",1981
"barta.us","Jan/16/1981",-2.5,1981-01-16,"Jan",1981
"bayr.de","Jan/16/1981",-3.70000004768372,1981-01-16,"Jan",1981
"bldr.us","Jan/16/1981",-0.300000011920929,1981-01-16,"Jan",1981
"bnbt.us","Jan/16/1981",-0.400000005960464,1981-01-16,"Jan",1981
"bnch.us","Jan/16/1981",-0.800000011920929,1981-01-16,"Jan",1981
"bogong.au","Jan/16/1981",20.7000007629395,1981-01-16,"Jan",1981
"bttr.us","Jan/16/1981",-0.800000011920929,1981-01-16,"Jan",1981
"bunya.au","Jan/16/1981",23.1000003814697,1981-01-16,"Jan",1981
"burrawan.au","Jan/16/1981",25.1000003814697,1981-01-16,"Jan",1981
"burren.ie","Jan/16/1981",6.20000028610229,1981-01-16,"Jan",1981
"bynb.cn","Jan/16/1981",-18.1000003814697,1981-01-16,"Jan",1981
"cbgb.us","Jan/16/1981",-4.30000019073486,1981-01-16,"Jan",1981
"cdcr.us","Jan/16/1981",-8.5,1981-01-16,"Jan",1981
"cdpt.us","Jan/16/1981",-0.5,1981-01-16,"Jan",1981
"cereep.fr","Jan/16/1981",3.70000004768372,1981-01-16,"Jan",1981
"chilcas.ar","Jan/16/1981",21.3999996185303,1981-01-16,"Jan",1981
"comp.pt","Jan/16/1981",11,1981-01-16,"Jan",1981
"cowi.ca","Jan/16/1981",4.40000009536743,1981-01-16,"Jan",1981
"derr.au","Jan/16/1981",23,1981-01-16,"Jan",1981
"doane.us","Jan/16/1981",-2,1981-01-16,"Jan",1981
"drake.za","Jan/16/1981",21.3000011444092,1981-01-16,"Jan",1981
"elkh.us","Jan/16/1981",11.6000003814697,1981-01-16,"Jan",1981
"elliot.us","Jan/16/1981",15.3000001907349,1981-01-16,"Jan",1981
"elva.ee","Jan/16/1981",-4.30000019073486,1981-01-16,"Jan",1981
"ethamc.au","Jan/16/1981",30.1000003814697,1981-01-16,"Jan",1981
"ethass.au","Jan/16/1981",30.1000003814697,1981-01-16,"Jan",1981
"fnly.us","Jan/16/1981",5.90000009536743,1981-01-16,"Jan",1981
"free.de","Jan/16/1981",-0.400000005960464,1981-01-16,"Jan",1981
"frue.ch","Jan/16/1981",-2.20000004768372,1981-01-16,"Jan",1981
"gall.it","Jan/16/1981",3,1981-01-16,"Jan",1981
"gcnban.cn","Jan/16/1981",-13.6000003814697,1981-01-16,"Jan",1981
"gcndan.cn","Jan/16/1981",-12,1981-01-16,"Jan",1981
