"sitename","tmp_degrees_Celsius","plotdate","pre_mm/month","Month"
"abisko.se",-14.4000005722046,1981-01-16,144.5,1
"ahth.is",-5.20000028610229,1981-01-16,81.3000030517578,1
"amcamp.us",5.5,1981-01-16,90.7000045776367,1
"amlr.is",-5.20000028610229,1981-01-16,81.3000030517578,1
"anti.ec",11.6999998092651,1981-01-16,57.4000015258789,1
"arch.us",12.3000001907349,1981-01-16,14.1000003814697,1
"azi.cn",-9.90000057220459,1981-01-16,3.5,1
"azitwo.cn",-9.90000057220459,1981-01-16,3.5,1
"badlau.de",-1.5,1981-01-16,34.7999992370605,1
"bari.ar",12.4000005722046,1981-01-16,52.2999992370605,1
"barta.us",-2.5,1981-01-16,2.20000004768372,1
"bayr.de",-3.70000004768372,1981-01-16,60.4000015258789,1
"bldr.us",-0.300000011920929,1981-01-16,5.09999990463257,1
"bnbt.us",-0.400000005960464,1981-01-16,6.70000028610229,1
"bnch.us",-0.800000011920929,1981-01-16,63.2000007629395,1
"bogong.au",20.7000007629395,1981-01-16,70.9000015258789,1
"bttr.us",-0.800000011920929,1981-01-16,63.2000007629395,1
"bunya.au",23.1000003814697,1981-01-16,44.4000015258789,1
"burrawan.au",25.1000003814697,1981-01-16,31.7000007629395,1
"burren.ie",6.20000028610229,1981-01-16,65.0999984741211,1
"bynb.cn",-18.1000003814697,1981-01-16,10.3000001907349,1
"cbgb.us",-4.30000019073486,1981-01-16,1.70000004768372,1
"cdcr.us",-8.5,1981-01-16,5.09999990463257,1
"cdpt.us",-0.5,1981-01-16,5.40000009536743,1
"cereep.fr",3.70000004768372,1981-01-16,69.4000015258789,1
"chilcas.ar",21.3999996185303,1981-01-16,143.5,1
"comp.pt",11,1981-01-16,5.40000009536743,1
"cowi.ca",4.40000009536743,1981-01-16,82.3000030517578,1
"derr.au",23,1981-01-16,55.7000007629395,1
"doane.us",-2,1981-01-16,2.40000009536743,1
"drake.za",21.3000011444092,1981-01-16,186.699996948242,1
"elkh.us",11.6000003814697,1981-01-16,233.800003051758,1
"elliot.us",15.3000001907349,1981-01-16,30.7000007629395,1
"elva.ee",-4.30000019073486,1981-01-16,35.7999992370605,1
"ethamc.au",30.1000003814697,1981-01-16,97.4000015258789,1
"ethass.au",30.1000003814697,1981-01-16,97.4000015258789,1
"fnly.us",5.90000009536743,1981-01-16,61.1000022888184,1
"free.de",-0.400000005960464,1981-01-16,64.3000030517578,1
"frue.ch",-2.20000004768372,1981-01-16,118.200004577637,1
"gall.it",3,1981-01-16,36.2000007629395,1
"gcnban.cn",-13.6000003814697,1981-01-16,3.5,1
"gcndan.cn",-12,1981-01-16,0,1
"gcnhai.cn",-14.5,1981-01-16,2,1
"gcnhon.cn",-8.10000038146973,1981-01-16,2.29999995231628,1
"gcnhul.cn",-25.3999996185303,1981-01-16,0.800000011920929,1
"gcnnaq.cn",-15,1981-01-16,8,1
"gcnsui.cn",-19,1981-01-16,0.200000002980232,1
"gcnura.cn",-12.9000005722046,1981-01-16,0.900000035762787,1
"gcnxil.cn",-20.5,1981-01-16,1,1
"gcnyan.cn",-7.90000009536743,1981-01-16,3.70000004768372,1
"gcnyou.cn",-13.1999998092651,1981-01-16,2.40000009536743,1
"gilb.za",20.5,1981-01-16,175.199996948242,1
"glac.us",5.20000028610229,1981-01-16,72.4000015258789,1
"glcr.us",-3,1981-01-16,3,1
"hall.us",-0.5,1981-01-16,35.6000022888184,1
"hart.us",0.100000001490116,1981-01-16,24.5,1
"hast.us",10.8000001907349,1981-01-16,268.600006103516,1
"hero.uk",4.30000019073486,1981-01-16,45.7999992370605,1
"hnvr.us",-11.8000001907349,1981-01-16,13.1000003814697,1
"hogone.us",0.200000002980232,1981-01-16,21,1
"hogtwo.us",0.200000002980232,1981-01-16,21,1
"hopl.us",8.10000038146973,1981-01-16,302.899993896484,1
"hustai.mn",-23.8999996185303,1981-01-16,1.10000002384186,1
"jasp.us",11,1981-01-16,177.699996948242,1
"jena.de",-2.70000004768372,1981-01-16,44.1000022888184,1
"jorn.us",4.70000028610229,1981-01-16,21.6000003814697,1
"kark.se",-14.4000005722046,1981-01-16,180.100006103516,1
"kbs.us",-6.59999990463257,1981-01-16,14.5,1
"kibber.in",-11.6999998092651,1981-01-16,42.6000022888184,1
"kidman.au",30.3000011444092,1981-01-16,246.300003051758,1
"kilp.fi",-15.5,1981-01-16,124.800003051758,1
"kiny.au",25.8999996185303,1981-01-16,29.1000003814697,1
"kirik.ee",-2.79999995231628,1981-01-16,54,1
"koffler.ca",-12.1000003814697,1981-01-16,23.7000007629395,1
"konz.us",0.600000023841858,1981-01-16,2.90000009536743,1
"konzn1b.us",0.600000023841858,1981-01-16,2.90000009536743,1
"lagoas.br",27,1981-01-16,197.400009155273,1
"lake.us",-6.40000009536743,1981-01-16,1.89999997615814,1
"lakta.se",-14.4000005722046,1981-01-16,144.5,1
"lancaster.uk",4.09999990463257,1981-01-16,121.099998474121,1
"lead.us",7.5,1981-01-16,89.7000045776367,1
"look.us",1.70000004768372,1981-01-16,68.2000045776367,1
"lubb.us",5.5,1981-01-16,5.59999990463257,1
"marc.ar",19.6000003814697,1981-01-16,126.5,1
"mcdan.us",-3.29999995231628,1981-01-16,9.30000019073486,1
"mcla.us",7.59999990463257,1981-01-16,201.699996948242,1
"meto.us",0.200000002980232,1981-01-16,21,1
"mitch.au",28.1000003814697,1981-01-16,211,1
