site,sitenum,sitenum2
abisko,1,1
amcamp,2,2
arch,5,3
azitwo,6,4
badlau,7,5
bari,8,6
barta,9,7
bayr,10,8
bldr,11,9
bnbt,12,10
bnch,13,11
bogong,14,12
bttr,15,13
bunya,16,14
burrawan,17,15
burren,18,16
bynb,19,17
cbgb,20,18
cdcr,21,19
cdpt,22,20
chilcas,23,21
comp,24,22
cowi,25,23
derr,26,24
doane,27,25
elkh,29,26
elliot,30,27
elva,31,28
ethamc,32,29
frue,34,30
gilb,42,31
glac,43,32
glcr,44,33
hall,45,34
hart,46,35
hast,47,36
hero,48,37
hopl,49,38
jasp,51,39
jorn,52,40
kark,53,41
kbs,54,42
kibber,55,43
kidman,56,44
kilp,57,45
kiny,58,46
kirik,59,47
koffler,60,48
konz,61,49
lagoas,62,50
lake,63,51
lancaster,64,52
lead,65,53
look,66,54
lubb,67,55
marc,68,56
mcdan,69,57
mcla,70,58
mitch,71,59
msla,72,60
msum,73,61
mtca,74,62
nilla,76,63
ping,80,64
pinj,81,65
potrok,82,66
sage,84,67
saline,85,68
sedg,86,69
sereng,87,70
sevi,88,71
sgs,89,72
shps,90,73
sier,91,74
smith,93,75
spv,94,76
summ,95,77
temple,97,78
ucsc,99,79
ukul,100,80
unc,101,81
uwo,102,82
valm,103,83
vargrass,106,84
vass,107,85
yarra,110,86
