Type,Value,Stat,site,gs,CHANGE,includeCHANGE
sos,0.0813968696461264,P value,yarra,1988,-31,ns
sos,0.0813968696461264,P value,yarra,1989,-26,ns
sos,0.0813968696461264,P value,yarra,1990,-4,ns
sos,0.0813968696461264,P value,yarra,1991,-7,ns
sos,0.0813968696461264,P value,yarra,1992,111,ns
sos,0.0813968696461264,P value,yarra,1993,20,ns
sos,0.0813968696461264,P value,yarra,1994,20,ns
sos,0.0813968696461264,P value,yarra,1995,98,ns
sos,0.0813968696461264,P value,yarra,1996,25,ns
sos,0.0813968696461264,P value,yarra,1997,27,ns
sos,0.0813968696461264,P value,yarra,1998,43,ns
sos,0.0813968696461264,P value,yarra,1999,-35,ns
sos,0.0813968696461264,P value,yarra,2000,-47,ns
sos,0.0813968696461264,P value,yarra,2001,4,ns
sos,0.0813968696461264,P value,yarra,2003,7,ns
sos,0.0813968696461264,P value,yarra,2004,-17,ns
sos,0.0813968696461264,P value,yarra,2005,41,ns
sos,0.0813968696461264,P value,yarra,2006,8,ns
sos,0.0813968696461264,P value,yarra,2009,3,ns
sos,0.0813968696461264,P value,yarra,2010,-48,ns
sos,0.0813968696461264,P value,yarra,2011,-43,ns
sos,0.0813968696461264,P value,yarra,2012,0,ns
sos,0.0813968696461264,P value,yarra,2014,-48,ns
sos,0.0813968696461264,P value,yarra,2016,-42,ns
sos,0.0813968696461264,P value,yarra,2018,-48,ns
sos,0.0813968696461264,P value,yarra,2019,34,ns
sos,0.6839370206696327,P value,vass,1986,-12,ns
sos,0.6839370206696327,P value,vass,1997,13,ns
sos,0.6839370206696327,P value,vass,2000,-1,ns
sos,0.6839370206696327,P value,vass,2002,-5,ns
sos,0.6839370206696327,P value,vass,2006,-5,ns
sos,0.6839370206696327,P value,vass,2007,-4,ns
sos,0.6839370206696327,P value,vass,2014,-2,ns
sos,0.6839370206696327,P value,vass,2015,19,ns
sos,0.6839370206696327,P value,vass,2016,-14,ns
sos,0.6839370206696327,P value,vass,2017,10,ns
sos,0.6839370206696327,P value,vass,2018,-11,ns
sos,0.09963573329093862,P value,vargrass,1988,6,ns
sos,0.09963573329093862,P value,vargrass,1989,2,ns
sos,0.09963573329093862,P value,vargrass,2000,8,ns
sos,0.09963573329093862,P value,vargrass,2005,0,ns
sos,0.09963573329093862,P value,vargrass,2006,-4,ns
sos,0.09963573329093862,P value,vargrass,2013,-11,ns
sos,0.09963573329093862,P value,vargrass,2014,9,ns
sos,0.09963573329093862,P value,vargrass,2015,-16,ns
sos,0.09963573329093862,P value,vargrass,2016,-8,ns
sos,0.09963573329093862,P value,vargrass,2017,0,ns
sos,0.09963573329093862,P value,vargrass,2018,-5,ns
sos,0.222111581790248,P value,valm,1985,15,ns
sos,0.222111581790248,P value,valm,1987,20,ns
sos,0.222111581790248,P value,valm,1988,5,ns
sos,0.222111581790248,P value,valm,1989,-3,ns
sos,0.222111581790248,P value,valm,1990,-13,ns
sos,0.222111581790248,P value,valm,1991,17,ns
sos,0.222111581790248,P value,valm,1992,13,ns
sos,0.222111581790248,P value,valm,1993,-1,ns
sos,0.222111581790248,P value,valm,1996,-10,ns
sos,0.222111581790248,P value,valm,1997,7,ns
sos,0.222111581790248,P value,valm,1998,-8,ns
sos,0.222111581790248,P value,valm,1999,2,ns
sos,0.222111581790248,P value,valm,2000,-3,ns
sos,0.222111581790248,P value,valm,2001,-60,ns
sos,0.222111581790248,P value,valm,2002,-1,ns
sos,0.222111581790248,P value,valm,2003,-7,ns
sos,0.222111581790248,P value,valm,2004,20,ns
sos,0.222111581790248,P value,valm,2005,-10,ns
sos,0.222111581790248,P value,valm,2006,6,ns
sos,0.222111581790248,P value,valm,2007,-18,ns
sos,0.222111581790248,P value,valm,2008,6,ns
sos,0.222111581790248,P value,valm,2009,2,ns
sos,0.222111581790248,P value,valm,2010,9,ns
sos,0.222111581790248,P value,valm,2011,-18,ns
sos,0.222111581790248,P value,valm,2012,1,ns
sos,0.222111581790248,P value,valm,2013,-7,ns
sos,0.222111581790248,P value,valm,2014,-4,ns
sos,0.222111581790248,P value,valm,2015,-3,ns
sos,0.222111581790248,P value,valm,2016,-5,ns
sos,0.222111581790248,P value,valm,2017,-6,ns
sos,0.222111581790248,P value,valm,2018,2,ns
sos,0.320551759682916,P value,uwo,1986,-14,ns
sos,0.320551759682916,P value,uwo,1989,-8,ns
sos,0.320551759682916,P value,uwo,1991,-23,ns
sos,0.320551759682916,P value,uwo,1992,-1,ns
sos,0.320551759682916,P value,uwo,1993,2,ns
sos,0.320551759682916,P value,uwo,1994,11,ns
sos,0.320551759682916,P value,uwo,1995,-3,ns
sos,0.320551759682916,P value,uwo,1999,-3,ns
sos,0.320551759682916,P value,uwo,2000,-3,ns
sos,0.320551759682916,P value,uwo,2001,5,ns
sos,0.320551759682916,P value,uwo,2003,6,ns
sos,0.320551759682916,P value,uwo,2004,3,ns
sos,0.320551759682916,P value,uwo,2005,9,ns
sos,0.320551759682916,P value,uwo,2006,5,ns
sos,0.320551759682916,P value,uwo,2007,5,ns
sos,0.320551759682916,P value,uwo,2008,-4,ns
sos,0.320551759682916,P value,uwo,2009,10,ns
sos,0.320551759682916,P value,uwo,2010,-8,ns
sos,0.320551759682916,P value,uwo,2011,4,ns
sos,0.320551759682916,P value,uwo,2012,-17,ns
sos,0.320551759682916,P value,uwo,2013,-6,ns
sos,0.320551759682916,P value,uwo,2014,2,ns
sos,0.320551759682916,P value,uwo,2015,6,ns
sos,0.320551759682916,P value,uwo,2016,-3,ns
sos,0.320551759682916,P value,uwo,2017,-12,ns
sos,0.320551759682916,P value,uwo,2018,5,ns
sos,0.0042375973890935075,P value,unc,1984,-4,sig
sos,0.0042375973890935075,P value,unc,1986,107,sig
sos,0.0042375973890935075,P value,unc,1987,34,sig
sos,0.0042375973890935075,P value,unc,1991,-29,sig
sos,0.0042375973890935075,P value,unc,1993,77,sig
sos,0.0042375973890935075,P value,unc,1994,18,sig
sos,0.0042375973890935075,P value,unc,1995,7,sig
sos,0.0042375973890935075,P value,unc,1996,17,sig
sos,0.0042375973890935075,P value,unc,1999,4,sig
sos,0.0042375973890935075,P value,unc,2000,-23,sig
sos,0.0042375973890935075,P value,unc,2001,-10,sig
sos,0.0042375973890935075,P value,unc,2002,-7,sig
sos,0.0042375973890935075,P value,unc,2003,-23,sig
sos,0.0042375973890935075,P value,unc,2005,-5,sig
sos,0.0042375973890935075,P value,unc,2006,-35,sig
sos,0.0042375973890935075,P value,unc,2007,-15,sig
sos,0.0042375973890935075,P value,unc,2008,-17,sig
sos,0.0042375973890935075,P value,unc,2009,-8,sig
sos,0.0042375973890935075,P value,unc,2010,-12,sig
sos,0.0042375973890935075,P value,unc,2011,-9,sig
sos,0.0042375973890935075,P value,unc,2013,-11,sig
sos,0.0042375973890935075,P value,unc,2017,-24,sig
sos,0.9003036010187846,P value,ukul,1991,19,ns
sos,0.9003036010187846,P value,ukul,1998,-57,ns
sos,0.9003036010187846,P value,ukul,1999,-1,ns
sos,0.9003036010187846,P value,ukul,2001,11,ns
sos,0.9003036010187846,P value,ukul,2002,-4,ns
sos,0.9003036010187846,P value,ukul,2004,25,ns
sos,0.9003036010187846,P value,ukul,2006,30,ns
sos,0.9003036010187846,P value,ukul,2007,-12,ns
sos,0.9003036010187846,P value,ukul,2009,-17,ns
sos,0.9003036010187846,P value,ukul,2010,-20,ns
sos,0.9003036010187846,P value,ukul,2013,-58,ns
sos,0.9003036010187846,P value,ukul,2014,0,ns
sos,0.9003036010187846,P value,ukul,2015,9,ns
sos,0.9003036010187846,P value,ukul,2016,44,ns
sos,0.9003036010187846,P value,ukul,2017,-48,ns
sos,0.9003036010187846,P value,ukul,2018,-8,ns
sos,0.9003036010187846,P value,ukul,2019,47,ns
sos,0.8016906365565785,P value,ucsc,1985,-36,ns
sos,0.8016906365565785,P value,ucsc,1986,-25,ns
sos,0.8016906365565785,P value,ucsc,1987,35,ns
sos,0.8016906365565785,P value,ucsc,1988,-7,ns
sos,0.8016906365565785,P value,ucsc,1989,18,ns
sos,0.8016906365565785,P value,ucsc,1990,52,ns
sos,0.8016906365565785,P value,ucsc,1991,13,ns
sos,0.8016906365565785,P value,ucsc,1992,20,ns
sos,0.8016906365565785,P value,ucsc,1993,40,ns
sos,0.8016906365565785,P value,ucsc,1994,-3,ns
sos,0.8016906365565785,P value,ucsc,1995,-25,ns
sos,0.8016906365565785,P value,ucsc,1996,16,ns
sos,0.8016906365565785,P value,ucsc,1997,-7,ns
sos,0.8016906365565785,P value,ucsc,1998,-9,ns
sos,0.8016906365565785,P value,ucsc,1999,56,ns
sos,0.8016906365565785,P value,ucsc,2000,-8,ns
sos,0.8016906365565785,P value,ucsc,2001,-33,ns
sos,0.8016906365565785,P value,ucsc,2002,-26,ns
sos,0.8016906365565785,P value,ucsc,2003,-18,ns
sos,0.8016906365565785,P value,ucsc,2004,-14,ns
sos,0.8016906365565785,P value,ucsc,2005,-38,ns
sos,0.8016906365565785,P value,ucsc,2006,15,ns
sos,0.8016906365565785,P value,ucsc,2007,-5,ns
sos,0.8016906365565785,P value,ucsc,2008,-52,ns
sos,0.8016906365565785,P value,ucsc,2009,-23,ns
sos,0.8016906365565785,P value,ucsc,2010,-52,ns
sos,0.8016906365565785,P value,ucsc,2011,-14,ns
sos,0.8016906365565785,P value,ucsc,2012,45,ns
sos,0.8016906365565785,P value,ucsc,2013,-17,ns
sos,0.8016906365565785,P value,ucsc,2014,67,ns
sos,0.8016906365565785,P value,ucsc,2015,-29,ns
sos,0.8016906365565785,P value,ucsc,2016,-17,ns
sos,0.8016906365565785,P value,ucsc,2017,90,ns
sos,0.8016906365565785,P value,ucsc,2018,-12,ns
sos,0.8016906365565785,P value,ucsc,2019,-4,ns
sos,0.0634424383497834,P value,temple,1987,27,ns
sos,0.0634424383497834,P value,temple,1988,-12,ns
sos,0.0634424383497834,P value,temple,1989,28,ns
sos,0.0634424383497834,P value,temple,1991,-28,ns
sos,0.0634424383497834,P value,temple,1992,25,ns
sos,0.0634424383497834,P value,temple,1994,13,ns
sos,0.0634424383497834,P value,temple,1995,-12,ns
sos,0.0634424383497834,P value,temple,1997,-22,ns
sos,0.0634424383497834,P value,temple,1998,31,ns
sos,0.0634424383497834,P value,temple,1999,-20,ns
sos,0.0634424383497834,P value,temple,2000,2,ns
sos,0.0634424383497834,P value,temple,2001,-33,ns
sos,0.0634424383497834,P value,temple,2002,20,ns
sos,0.0634424383497834,P value,temple,2003,51,ns
sos,0.0634424383497834,P value,temple,2004,-13,ns
sos,0.0634424383497834,P value,temple,2005,8,ns
sos,0.0634424383497834,P value,temple,2006,3,ns
sos,0.0634424383497834,P value,temple,2007,-2,ns
sos,0.0634424383497834,P value,temple,2008,6,ns
sos,0.0634424383497834,P value,temple,2009,25,ns
sos,0.0634424383497834,P value,temple,2010,-20,ns
sos,0.0634424383497834,P value,temple,2011,15,ns
sos,0.0634424383497834,P value,temple,2014,-21,ns
sos,0.0634424383497834,P value,temple,2015,-20,ns
sos,0.0634424383497834,P value,temple,2016,-35,ns
sos,0.0634424383497834,P value,temple,2017,-54,ns
sos,0.0634424383497834,P value,temple,2018,-8,ns
sos,0.19434754790964634,P value,summ,1991,-42,ns
sos,0.19434754790964634,P value,summ,2006,67,ns
sos,0.19434754790964634,P value,summ,2007,-13,ns
sos,0.19434754790964634,P value,summ,2008,-18,ns
sos,0.19434754790964634,P value,summ,2010,-51,ns
sos,0.19434754790964634,P value,summ,2013,-50,ns
sos,0.19434754790964634,P value,summ,2014,-26,ns
sos,0.19434754790964634,P value,summ,2015,16,ns
sos,0.19434754790964634,P value,summ,2017,1,ns
sos,0.19434754790964634,P value,summ,2018,44,ns
sos,0.19434754790964634,P value,summ,2019,98,ns
sos,0.29269457297880214,P value,spv,1999,14,ns
sos,0.29269457297880214,P value,spv,2001,78,ns
sos,0.29269457297880214,P value,spv,2002,-10,ns
sos,0.29269457297880214,P value,spv,2003,-62,ns
sos,0.29269457297880214,P value,spv,2004,-55,ns
sos,0.29269457297880214,P value,spv,2005,40,ns
sos,0.29269457297880214,P value,spv,2006,-28,ns
sos,0.29269457297880214,P value,spv,2007,8,ns
sos,0.29269457297880214,P value,spv,2008,59,ns
sos,0.29269457297880214,P value,spv,2009,59,ns
sos,0.29269457297880214,P value,spv,2010,36,ns
sos,0.29269457297880214,P value,spv,2012,-60,ns
sos,0.29269457297880214,P value,spv,2015,-41,ns
sos,0.29269457297880214,P value,spv,2017,-51,ns
sos,0.039350757377736384,P value,smith,1985,44,sig
sos,0.039350757377736384,P value,smith,1986,-32,sig
sos,0.039350757377736384,P value,smith,1987,12,sig
sos,0.039350757377736384,P value,smith,1990,47,sig
sos,0.039350757377736384,P value,smith,1991,-30,sig
sos,0.039350757377736384,P value,smith,1992,-52,sig
sos,0.039350757377736384,P value,smith,1993,25,sig
sos,0.039350757377736384,P value,smith,1994,14,sig
sos,0.039350757377736384,P value,smith,1995,5,sig
sos,0.039350757377736384,P value,smith,1996,22,sig
sos,0.039350757377736384,P value,smith,1997,15,sig
sos,0.039350757377736384,P value,smith,1998,6,sig
sos,0.039350757377736384,P value,smith,1999,5,sig
sos,0.039350757377736384,P value,smith,2000,6,sig
sos,0.039350757377736384,P value,smith,2001,42,sig
sos,0.039350757377736384,P value,smith,2002,-24,sig
sos,0.039350757377736384,P value,smith,2003,-2,sig
sos,0.039350757377736384,P value,smith,2005,-18,sig
sos,0.039350757377736384,P value,smith,2006,3,sig
sos,0.039350757377736384,P value,smith,2007,0,sig
sos,0.039350757377736384,P value,smith,2008,50,sig
sos,0.039350757377736384,P value,smith,2009,16,sig
sos,0.039350757377736384,P value,smith,2010,5,sig
sos,0.039350757377736384,P value,smith,2011,16,sig
sos,0.039350757377736384,P value,smith,2013,4,sig
sos,0.039350757377736384,P value,smith,2014,-39,sig
sos,0.039350757377736384,P value,smith,2015,-34,sig
sos,0.039350757377736384,P value,smith,2016,-84,sig
sos,0.039350757377736384,P value,smith,2017,-83,sig
sos,0.039350757377736384,P value,smith,2018,29,sig
sos,0.039350757377736384,P value,smith,2019,-54,sig
sos,0.7645330653885214,P value,sier,1985,-15,ns
sos,0.7645330653885214,P value,sier,1986,0,ns
sos,0.7645330653885214,P value,sier,1987,22,ns
sos,0.7645330653885214,P value,sier,1989,13,ns
sos,0.7645330653885214,P value,sier,1990,-65,ns
sos,0.7645330653885214,P value,sier,1991,16,ns
sos,0.7645330653885214,P value,sier,1992,15,ns
sos,0.7645330653885214,P value,sier,1993,11,ns
sos,0.7645330653885214,P value,sier,1994,-4,ns
sos,0.7645330653885214,P value,sier,1995,-9,ns
sos,0.7645330653885214,P value,sier,1996,18,ns
sos,0.7645330653885214,P value,sier,1997,-11,ns
sos,0.7645330653885214,P value,sier,1998,-14,ns
sos,0.7645330653885214,P value,sier,1999,32,ns
sos,0.7645330653885214,P value,sier,2000,-17,ns
sos,0.7645330653885214,P value,sier,2001,-30,ns
sos,0.7645330653885214,P value,sier,2002,86,ns
sos,0.7645330653885214,P value,sier,2003,-20,ns
sos,0.7645330653885214,P value,sier,2004,21,ns
sos,0.7645330653885214,P value,sier,2005,-37,ns
sos,0.7645330653885214,P value,sier,2006,-24,ns
sos,0.7645330653885214,P value,sier,2007,-15,ns
sos,0.7645330653885214,P value,sier,2008,-52,ns
sos,0.7645330653885214,P value,sier,2009,-23,ns
sos,0.7645330653885214,P value,sier,2010,-47,ns
sos,0.7645330653885214,P value,sier,2011,-11,ns
sos,0.7645330653885214,P value,sier,2012,72,ns
sos,0.7645330653885214,P value,sier,2013,-15,ns
sos,0.7645330653885214,P value,sier,2014,55,ns
sos,0.7645330653885214,P value,sier,2015,51,ns
sos,0.7645330653885214,P value,sier,2016,-7,ns
sos,0.7645330653885214,P value,sier,2017,-39,ns
sos,0.7645330653885214,P value,sier,2018,-23,ns
sos,0.7645330653885214,P value,sier,2019,48,ns
sos,0.2611311713213115,P value,shps,1986,2,ns
sos,0.2611311713213115,P value,shps,1987,5,ns
sos,0.2611311713213115,P value,shps,1992,-13,ns
sos,0.2611311713213115,P value,shps,1994,10,ns
sos,0.2611311713213115,P value,shps,1995,-26,ns
sos,0.2611311713213115,P value,shps,1997,7,ns
sos,0.2611311713213115,P value,shps,1999,16,ns
sos,0.2611311713213115,P value,shps,2000,9,ns
sos,0.2611311713213115,P value,shps,2001,-3,ns
sos,0.2611311713213115,P value,shps,2002,1,ns
sos,0.2611311713213115,P value,shps,2003,-2,ns
sos,0.2611311713213115,P value,shps,2004,7,ns
sos,0.2611311713213115,P value,shps,2005,-21,ns
sos,0.2611311713213115,P value,shps,2006,15,ns
sos,0.2611311713213115,P value,shps,2007,-13,ns
sos,0.2611311713213115,P value,shps,2008,22,ns
sos,0.2611311713213115,P value,shps,2009,17,ns
sos,0.2611311713213115,P value,shps,2010,6,ns
sos,0.2611311713213115,P value,shps,2012,-19,ns
sos,0.2611311713213115,P value,shps,2013,11,ns
sos,0.2611311713213115,P value,shps,2014,-12,ns
sos,0.2611311713213115,P value,shps,2015,-33,ns
sos,0.2611311713213115,P value,shps,2016,-8,ns
sos,0.2611311713213115,P value,shps,2017,-14,ns
sos,0.2611311713213115,P value,shps,2018,-10,ns
sos,0.8823627361235631,P value,sgs,1984,3,ns
sos,0.8823627361235631,P value,sgs,1985,-16,ns
sos,0.8823627361235631,P value,sgs,1986,-12,ns
sos,0.8823627361235631,P value,sgs,1987,-12,ns
sos,0.8823627361235631,P value,sgs,1988,-3,ns
sos,0.8823627361235631,P value,sgs,1989,1,ns
sos,0.8823627361235631,P value,sgs,1990,-8,ns
sos,0.8823627361235631,P value,sgs,1991,-5,ns
sos,0.8823627361235631,P value,sgs,1992,-6,ns
sos,0.8823627361235631,P value,sgs,1993,-1,ns
sos,0.8823627361235631,P value,sgs,1994,-6,ns
sos,0.8823627361235631,P value,sgs,1995,2,ns
sos,0.8823627361235631,P value,sgs,1996,12,ns
sos,0.8823627361235631,P value,sgs,1997,8,ns
sos,0.8823627361235631,P value,sgs,1998,-5,ns
sos,0.8823627361235631,P value,sgs,1999,3,ns
sos,0.8823627361235631,P value,sgs,2000,13,ns
sos,0.8823627361235631,P value,sgs,2001,-10,ns
sos,0.8823627361235631,P value,sgs,2003,-5,ns
sos,0.8823627361235631,P value,sgs,2004,27,ns
sos,0.8823627361235631,P value,sgs,2005,-4,ns
sos,0.8823627361235631,P value,sgs,2006,45,ns
sos,0.8823627361235631,P value,sgs,2007,-10,ns
sos,0.8823627361235631,P value,sgs,2008,21,ns
sos,0.8823627361235631,P value,sgs,2009,1,ns
sos,0.8823627361235631,P value,sgs,2010,0,ns
sos,0.8823627361235631,P value,sgs,2011,20,ns
sos,0.8823627361235631,P value,sgs,2013,8,ns
sos,0.8823627361235631,P value,sgs,2014,-65,ns
